Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 69.0.3497.100,,2018-09-24 16:43:14,2018-09-24 16:43:22,7.314s,PASSED
,,,,,,
Test Cases/Login/LoginTestCase,Chrome 69.0.3497.100,,2018-09-24 16:43:15,2018-09-24 16:43:21,6.238s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-24 16:43:15,2018-09-24 16:43:20,5.077s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 16:43:20,2018-09-24 16:43:20,0.236s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 16:43:20,2018-09-24 16:43:20,0.139s,PASSED
click,Chrome 69.0.3497.100,,2018-09-24 16:43:20,2018-09-24 16:43:21,0.420s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-09-24 16:43:21,2018-09-24 16:43:21,0.096s,PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-09-24 16:43:21,2018-09-24 16:43:21,0.044s,PASSED
,,,,,,
Test Cases/CloseBrowser,Chrome 69.0.3497.100,,2018-09-24 16:43:21,2018-09-24 16:43:22,0.797s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-24 16:43:21,2018-09-24 16:43:22,0.661s,PASSED
