Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SaveForm,Chrome 68.0.3440.106,,2018-09-20 12:27:59,2018-09-20 12:28:07,8.071s,PASSED
,,,,,,
Test Cases/Login/LoginTestCase,Chrome 68.0.3440.106,,2018-09-20 12:27:59,2018-09-20 12:28:04,5.154s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-20 12:27:59,2018-09-20 12:28:03,4.055s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-20 12:28:03,2018-09-20 12:28:03,0.187s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-20 12:28:03,2018-09-20 12:28:03,0.102s,PASSED
click,Chrome 68.0.3440.106,,2018-09-20 12:28:03,2018-09-20 12:28:04,0.432s,PASSED
verifyTextPresent,Chrome 68.0.3440.106,,2018-09-20 12:28:04,2018-09-20 12:28:04,0.091s,PASSED
waitForPageLoad,Chrome 68.0.3440.106,,2018-09-20 12:28:04,2018-09-20 12:28:04,0.039s,PASSED
,,,,,,
Test Cases/MaximizeBrowser,Chrome 68.0.3440.106,,2018-09-20 12:28:04,2018-09-20 12:28:05,1.267s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-20 12:28:04,2018-09-20 12:28:05,1.131s,PASSED
,,,,,,
Test Cases/SaveFormTestCase,Chrome 68.0.3440.106,,2018-09-20 12:28:05,2018-09-20 12:28:07,1.337s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-20 12:28:05,2018-09-20 12:28:05,0.103s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-20 12:28:05,2018-09-20 12:28:06,0.096s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-20 12:28:06,2018-09-20 12:28:06,0.083s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-20 12:28:06,2018-09-20 12:28:06,0.090s,PASSED
check,Chrome 68.0.3440.106,,2018-09-20 12:28:06,2018-09-20 12:28:06,0.052s,PASSED
check,Chrome 68.0.3440.106,,2018-09-20 12:28:06,2018-09-20 12:28:06,0.067s,PASSED
click,Chrome 68.0.3440.106,,2018-09-20 12:28:06,2018-09-20 12:28:06,0.057s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-20 12:28:06,2018-09-20 12:28:07,0.677s,PASSED
