Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SaveForm,Chrome 68.0.3440.106,,2018-09-19 17:27:25,2018-09-19 17:27:32,7.651s,FAILED
,,,,,,
Test Cases/Login/LoginTestCase,Chrome 68.0.3440.106,,2018-09-19 17:27:25,2018-09-19 17:27:32,7.116s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-19 17:27:25,2018-09-19 17:27:30,5.110s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 17:27:30,2018-09-19 17:27:30,0.212s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 17:27:30,2018-09-19 17:27:30,0.113s,PASSED
click,Chrome 68.0.3440.106,,2018-09-19 17:27:30,2018-09-19 17:27:31,0.579s,PASSED
verifyTextPresent,Chrome 68.0.3440.106,,2018-09-19 17:27:31,2018-09-19 17:27:31,0.087s,PASSED
waitForPageLoad,Chrome 68.0.3440.106,,2018-09-19 17:27:31,2018-09-19 17:27:31,0.049s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-19 17:27:31,2018-09-19 17:27:32,0.718s,PASSED
,,,,,,
Test Cases/SaveFormTestCase,Chrome 68.0.3440.106,,2018-09-19 17:27:32,2018-09-19 17:27:32,0.238s,FAILED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-19 17:27:32,2018-09-19 17:27:32,0.021s,FAILED
setText,Chrome 68.0.3440.106,,2018-09-19 17:27:32,2018-09-19 17:27:32,0.006s,FAILED
setText,Chrome 68.0.3440.106,,2018-09-19 17:27:32,2018-09-19 17:27:32,0.005s,FAILED
setText,Chrome 68.0.3440.106,,2018-09-19 17:27:32,2018-09-19 17:27:32,0.006s,FAILED
check,Chrome 68.0.3440.106,,2018-09-19 17:27:32,2018-09-19 17:27:32,0.056s,FAILED
check,Chrome 68.0.3440.106,,2018-09-19 17:27:32,2018-09-19 17:27:32,0.006s,FAILED
click,Chrome 68.0.3440.106,,2018-09-19 17:27:32,2018-09-19 17:27:32,0.007s,FAILED
closeBrowser,Chrome 68.0.3440.106,,2018-09-19 17:27:32,2018-09-19 17:27:32,0.001s,PASSED
