Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SaveForm,Chrome 68.0.3440.106,,2018-09-19 17:31:27,2018-09-19 17:31:34,6.984s,FAILED
,,,,,,
Test Cases/MaximizeBrowser,Chrome 68.0.3440.106,,2018-09-19 17:31:27,2018-09-19 17:31:28,0.447s,FAILED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-19 17:31:27,2018-09-19 17:31:28,0.229s,FAILED
,,,,,,
Test Cases/Login/LoginTestCase,Chrome 68.0.3440.106,,2018-09-19 17:31:28,2018-09-19 17:31:32,4.812s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-19 17:31:28,2018-09-19 17:31:32,3.912s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 17:31:32,2018-09-19 17:31:32,0.174s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 17:31:32,2018-09-19 17:31:32,0.121s,PASSED
click,Chrome 68.0.3440.106,,2018-09-19 17:31:32,2018-09-19 17:31:32,0.373s,PASSED
verifyTextPresent,Chrome 68.0.3440.106,,2018-09-19 17:31:32,2018-09-19 17:31:32,0.069s,PASSED
waitForPageLoad,Chrome 68.0.3440.106,,2018-09-19 17:31:32,2018-09-19 17:31:32,0.043s,PASSED
,,,,,,
Test Cases/SaveFormTestCase,Chrome 68.0.3440.106,,2018-09-19 17:31:32,2018-09-19 17:31:34,1.430s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-19 17:31:33,2018-09-19 17:31:33,0.111s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 17:31:33,2018-09-19 17:31:33,0.122s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 17:31:33,2018-09-19 17:31:33,0.095s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 17:31:33,2018-09-19 17:31:33,0.107s,PASSED
check,Chrome 68.0.3440.106,,2018-09-19 17:31:33,2018-09-19 17:31:33,0.057s,PASSED
check,Chrome 68.0.3440.106,,2018-09-19 17:31:33,2018-09-19 17:31:33,0.064s,PASSED
click,Chrome 68.0.3440.106,,2018-09-19 17:31:33,2018-09-19 17:31:33,0.054s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-19 17:31:33,2018-09-19 17:31:34,0.677s,PASSED
