Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SaveForm,Chrome 68.0.3440.106,,2018-09-20 12:31:56,2018-09-20 12:32:04,8.771s,PASSED
,,,,,,
Test Cases/Login/LoginTestCase,Chrome 68.0.3440.106,,2018-09-20 12:31:56,2018-09-20 12:32:02,5.563s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-20 12:31:56,2018-09-20 12:32:01,4.512s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-20 12:32:01,2018-09-20 12:32:01,0.172s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-20 12:32:01,2018-09-20 12:32:01,0.089s,PASSED
click,Chrome 68.0.3440.106,,2018-09-20 12:32:01,2018-09-20 12:32:01,0.382s,PASSED
verifyTextPresent,Chrome 68.0.3440.106,,2018-09-20 12:32:01,2018-09-20 12:32:01,0.109s,PASSED
waitForPageLoad,Chrome 68.0.3440.106,,2018-09-20 12:32:01,2018-09-20 12:32:02,0.064s,PASSED
,,,,,,
Test Cases/MaximizeBrowser,Chrome 68.0.3440.106,,2018-09-20 12:32:02,2018-09-20 12:32:03,1.336s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-20 12:32:02,2018-09-20 12:32:03,1.146s,PASSED
,,,,,,
Test Cases/SaveFormTestCase,Chrome 68.0.3440.106,,2018-09-20 12:32:03,2018-09-20 12:32:04,0.781s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-20 12:32:03,2018-09-20 12:32:03,0.142s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-20 12:32:03,2018-09-20 12:32:03,0.109s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-20 12:32:03,2018-09-20 12:32:03,0.106s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-20 12:32:03,2018-09-20 12:32:03,0.093s,PASSED
check,Chrome 68.0.3440.106,,2018-09-20 12:32:03,2018-09-20 12:32:04,0.038s,PASSED
check,Chrome 68.0.3440.106,,2018-09-20 12:32:04,2018-09-20 12:32:04,0.071s,PASSED
click,Chrome 68.0.3440.106,,2018-09-20 12:32:04,2018-09-20 12:32:04,0.068s,PASSED
,,,,,,
Test Cases/CloseBrowser,Chrome 68.0.3440.106,,2018-09-20 12:32:04,2018-09-20 12:32:04,0.784s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-20 12:32:04,2018-09-20 12:32:04,0.686s,PASSED
