Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 69.0.3497.100,,2018-09-24 16:44:31,2018-09-24 16:44:37,6.590s,PASSED
,,,,,,
Test Cases/Login/LoginTestCase,Chrome 69.0.3497.100,,2018-09-24 16:44:31,2018-09-24 16:44:37,5.513s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-24 16:44:31,2018-09-24 16:44:36,4.446s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 16:44:36,2018-09-24 16:44:36,0.168s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 16:44:36,2018-09-24 16:44:36,0.086s,PASSED
click,Chrome 69.0.3497.100,,2018-09-24 16:44:36,2018-09-24 16:44:37,0.410s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-09-24 16:44:37,2018-09-24 16:44:37,0.099s,PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-09-24 16:44:37,2018-09-24 16:44:37,0.043s,PASSED
,,,,,,
Test Cases/CloseBrowser,Chrome 69.0.3497.100,,2018-09-24 16:44:37,2018-09-24 16:44:37,0.793s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-24 16:44:37,2018-09-24 16:44:37,0.654s,PASSED
