Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,,,2018-09-24 16:42:56,2018-09-24 16:42:58,1.132s,FAILED
,,,,,,
Test Cases/Login/LoginTestCase,,,2018-09-24 16:42:57,2018-09-24 16:42:57,0.670s,FAILED
openBrowser,,,2018-09-24 16:42:57,2018-09-24 16:42:57,0.300s,FAILED
setText,,,2018-09-24 16:42:57,2018-09-24 16:42:57,0.060s,FAILED
setText,,,2018-09-24 16:42:57,2018-09-24 16:42:57,0.011s,FAILED
click,,,2018-09-24 16:42:57,2018-09-24 16:42:57,0.031s,FAILED
verifyTextPresent,,,2018-09-24 16:42:57,2018-09-24 16:42:57,0.016s,FAILED
waitForPageLoad,,,2018-09-24 16:42:57,2018-09-24 16:42:57,0.021s,FAILED
,,,,,,
Test Cases/CloseBrowser,,,2018-09-24 16:42:57,2018-09-24 16:42:58,0.147s,PASSED
closeBrowser,,,2018-09-24 16:42:58,2018-09-24 16:42:58,0.011s,PASSED
