Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SaveForm,Chrome 68.0.3440.106,,2018-09-19 17:32:22,2018-09-19 17:32:31,8.456s,PASSED
,,,,,,
Test Cases/Login/LoginTestCase,Chrome 68.0.3440.106,,2018-09-19 17:32:22,2018-09-19 17:32:28,5.580s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-19 17:32:23,2018-09-19 17:32:27,4.351s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 17:32:27,2018-09-19 17:32:27,0.156s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 17:32:27,2018-09-19 17:32:27,0.094s,PASSED
click,Chrome 68.0.3440.106,,2018-09-19 17:32:27,2018-09-19 17:32:28,0.620s,PASSED
verifyTextPresent,Chrome 68.0.3440.106,,2018-09-19 17:32:28,2018-09-19 17:32:28,0.076s,PASSED
waitForPageLoad,Chrome 68.0.3440.106,,2018-09-19 17:32:28,2018-09-19 17:32:28,0.055s,PASSED
,,,,,,
Test Cases/MaximizeBrowser,Chrome 68.0.3440.106,,2018-09-19 17:32:28,2018-09-19 17:32:29,1.236s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-19 17:32:28,2018-09-19 17:32:29,1.135s,PASSED
,,,,,,
Test Cases/SaveFormTestCase,Chrome 68.0.3440.106,,2018-09-19 17:32:29,2018-09-19 17:32:31,1.322s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-19 17:32:29,2018-09-19 17:32:29,0.100s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 17:32:29,2018-09-19 17:32:30,0.106s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 17:32:30,2018-09-19 17:32:30,0.081s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 17:32:30,2018-09-19 17:32:30,0.097s,PASSED
check,Chrome 68.0.3440.106,,2018-09-19 17:32:30,2018-09-19 17:32:30,0.046s,PASSED
check,Chrome 68.0.3440.106,,2018-09-19 17:32:30,2018-09-19 17:32:30,0.066s,PASSED
click,Chrome 68.0.3440.106,,2018-09-19 17:32:30,2018-09-19 17:32:30,0.051s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-19 17:32:30,2018-09-19 17:32:31,0.666s,PASSED
