Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 69.0.3497.100,,2018-09-24 16:44:49,2018-09-24 16:44:56,6.509s,PASSED
,,,,,,
Test Cases/Login/LoginTestCase,Chrome 69.0.3497.100,,2018-09-24 16:44:49,2018-09-24 16:44:55,5.552s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-24 16:44:50,2018-09-24 16:44:54,4.204s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 16:44:54,2018-09-24 16:44:54,0.212s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 16:44:54,2018-09-24 16:44:54,0.117s,PASSED
click,Chrome 69.0.3497.100,,2018-09-24 16:44:54,2018-09-24 16:44:55,0.608s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-09-24 16:44:55,2018-09-24 16:44:55,0.090s,PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-09-24 16:44:55,2018-09-24 16:44:55,0.052s,PASSED
