Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 68.0.3440.106,,2018-09-20 12:27:25,2018-09-20 12:27:34,9.006s,PASSED
,,,,,,
Test Cases/Login/LoginTestCase,Chrome 68.0.3440.106,,2018-09-20 12:27:25,2018-09-20 12:27:33,7.764s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-20 12:27:25,2018-09-20 12:27:32,6.488s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-20 12:27:32,2018-09-20 12:27:32,0.182s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-20 12:27:32,2018-09-20 12:27:32,0.103s,PASSED
click,Chrome 68.0.3440.106,,2018-09-20 12:27:32,2018-09-20 12:27:33,0.607s,PASSED
verifyTextPresent,Chrome 68.0.3440.106,,2018-09-20 12:27:33,2018-09-20 12:27:33,0.093s,PASSED
waitForPageLoad,Chrome 68.0.3440.106,,2018-09-20 12:27:33,2018-09-20 12:27:33,0.032s,PASSED
,,,,,,
Test Cases/CloseBrowser,Chrome 68.0.3440.106,,2018-09-20 12:27:33,2018-09-20 12:27:34,0.897s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-20 12:27:33,2018-09-20 12:27:34,0.748s,PASSED
